"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.931443950E-1,-1.140000075E-1,2.220000178E-1,9.940950394E0,9.944082398E0
3.981472410E-1,-1.000500023E-1,2.320500165E-1,9.910050392E0,9.913271710E0
4.031505490E-1,-1.170000061E-1,2.290500104E-1,9.912000656E0,9.915337106E0
4.081533950E-1,-1.170000061E-1,2.250000089E-1,9.928950310E0,9.932188493E0
4.131567220E-1,-8.100000024E-2,2.130000144E-1,9.891000748E0,9.893625513E0
4.181597990E-1,-1.120500043E-1,2.460000068E-1,9.922050476E0,9.925732056E0
4.231626260E-1,-1.240500063E-1,2.200500071E-1,9.915000916E0,9.918218266E0
4.281657030E-1,-1.050000042E-1,2.080500126E-1,9.915000916E0,9.917739307E0
4.331687320E-1,-1.170000061E-1,2.269500047E-1,9.928950310E0,9.932232859E0
4.381715010E-1,-1.170000061E-1,2.290500104E-1,9.915000916E0,9.918336356E0
4.431745780E-1,-9.795000404E-2,2.250000089E-1,9.936000824E0,9.939030716E0
4.481777320E-1,-1.189500093E-1,2.130000144E-1,9.940950394E0,9.943943526E0
4.531807370E-1,-1.000500023E-1,2.170500159E-1,9.915000916E0,9.917881017E0
4.581835830E-1,-9.795000404E-2,2.100000083E-1,9.892950058E0,9.895663447E0
4.631862750E-1,-1.240500063E-1,2.290500104E-1,9.910050392E0,9.913473210E0
4.681888230E-1,-1.140000075E-1,2.170500159E-1,9.907950401E0,9.910983194E0
4.731915920E-1,-8.595000207E-2,2.130000144E-1,9.931950569E0,9.934606108E0
4.781942940E-1,-1.260000020E-1,2.080500126E-1,9.939000130E0,9.941975879E0
4.831970640E-1,-1.309500039E-1,2.320500165E-1,9.939000130E0,9.942571030E0
4.881999100E-1,-1.120500043E-1,2.340000123E-1,9.924000740E0,9.927391495E0
4.932028860E-1,-1.170000061E-1,2.200500071E-1,9.939000130E0,9.942124249E0
4.982057320E-1,-1.309500039E-1,2.130000144E-1,9.916950226E0,9.920101748E0
5.032084860E-1,-1.170000061E-1,2.200500071E-1,9.934050560E0,9.937176236E0
5.082109480E-1,-1.069500074E-1,2.170500159E-1,9.924000740E0,9.926950171E0
5.132136980E-1,-1.290000081E-1,2.149500102E-1,9.919950485E0,9.923117561E0
5.182163900E-1,-1.170000061E-1,2.080500126E-1,9.919950485E0,9.922821748E0
5.232185150E-1,-9.795000404E-2,2.509500086E-1,9.939000130E0,9.942650235E0
5.282207460E-1,-1.170000061E-1,2.389500141E-1,9.915000916E0,9.918569920E0
5.332235150E-1,-1.140000075E-1,1.980000138E-1,9.895950317E0,9.898587409E0
5.382265820E-1,-1.549500078E-1,1.930500120E-1,9.916950226E0,9.920039294E0
5.432298900E-1,-1.260000020E-1,2.269500047E-1,9.928950310E0,9.932342954E0
5.482330440E-1,-1.000500023E-1,2.050500065E-1,9.915000916E0,9.917625657E0
5.532361010E-1,-1.120500043E-1,2.170500159E-1,9.903000832E0,9.906012890E0
