"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.739593140E-1,-1.511800010E-2,-3.361999989E-2,1.502439976E-1,1.547000877E-1
3.789451600E-1,-1.480999985E-3,-3.354100138E-2,1.366239935E-1,1.406886909E-1
3.839307750E-1,-2.689200081E-2,-4.409499839E-2,1.366569996E-1,1.460913554E-1
3.889166210E-1,5.540000275E-4,-4.377900064E-2,2.047619969E-1,2.093905040E-1
3.939024670E-1,-1.305899955E-2,-4.370399937E-2,2.047629952E-1,2.097819374E-1
3.988882510E-1,-1.296299975E-2,-4.357799888E-2,2.047639936E-1,2.097507436E-1
4.038741740E-1,-1.219400018E-2,-2.796900086E-2,1.911620051E-1,1.935816903E-1
4.088599430E-1,1.464999979E-3,-1.415800024E-2,1.775439978E-1,1.781136332E-1
4.138457840E-1,-1.215699967E-2,-2.775900066E-2,1.503030062E-1,1.533275853E-1
4.188314000E-1,1.415999955E-3,-2.769099921E-2,1.775439978E-1,1.796960423E-1
4.238172460E-1,1.396199968E-2,-3.859300166E-2,1.911759973E-1,1.955316321E-1
4.288030250E-1,2.750900015E-2,-2.461200021E-2,1.775570065E-1,1.813532084E-1
4.337888710E-1,1.393700019E-2,-1.097000018E-2,1.639370024E-1,1.648936677E-1
4.387747220E-1,1.398499962E-2,2.616999904E-3,1.094560027E-1,1.103768338E-1
4.437603380E-1,2.840000088E-4,-2.309799939E-2,1.230880022E-1,1.252367938E-1
4.487461840E-1,3.180000058E-4,-2.286900021E-2,1.094689965E-1,1.118327032E-1
4.537320290E-1,2.751299925E-2,-9.132999927E-3,1.094689965E-1,1.132423861E-1
4.587177980E-1,1.388399955E-2,-9.109999985E-3,5.498800054E-2,5.744073247E-2
4.637036450E-1,2.280000044E-4,4.166000057E-3,2.774499916E-2,2.805695134E-2
4.686894720E-1,1.379400026E-2,4.044000059E-3,2.774300054E-2,3.124583906E-2
4.736750870E-1,2.735999972E-2,3.949999809E-3,6.860300153E-2,7.396312529E-2
4.786609380E-1,-1.355400030E-2,3.903999925E-3,9.584300220E-2,9.687534883E-2
4.836467840E-1,5.199999941E-5,3.606999991E-3,9.584099799E-2,9.590886325E-2
4.886325440E-1,1.375999954E-2,-1.012900006E-2,5.497999862E-2,5.757373079E-2
4.936183900E-1,2.370000002E-4,3.445999930E-3,4.135899991E-2,4.150298734E-2
4.986040050E-1,-1.337600034E-2,-1.021599956E-2,2.773899958E-2,3.244589542E-2
5.035898510E-1,1.296399999E-2,3.119000001E-3,4.135200009E-2,4.344860605E-2
